# kurt_ECR, kurt_FCU, skew_ECR, skew_FCU, SSC_ECR, SSC_FCU
6.566634626673018005e+00, 7.728778941892002763e+00, 2.225157642656867107e+00, 2.448646326025432085e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.836294525101735786e+01, 4.003229148525835335e+00, 3.411164355228948342e+00, 1.857409048776414329e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
8.527686457413762966e+00, 9.381520738369248491e+00, 2.476287933307951938e+00, 2.606437053783547508e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.875763567113644115e+00, 5.686216384439635618e+00, 2.397221379495697136e+00, 2.169950186628283539e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.051358357874830851e+01, 7.914248206103675187e+00, 2.860912901026171795e+00, 2.494787747431879144e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
5.132384051156195781e+00, 7.049917782061093874e+00, 1.963685035842520632e+00, 2.248505242295371520e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
1.396114974049295299e+01, 2.238595968343558340e+00, 2.881971640498129261e+00, 1.601293632571905601e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.002952613953537409e+00, 6.382997994001533115e+00, 2.257207562962429304e+00, 2.240120423210170575e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
4.007367442363232612e+00, 7.880905968970115083e+00, 1.769981098106832240e+00, 2.368426003967817550e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.067740344176230671e+01, 6.896055144426203043e+00, 2.369820972064987874e+00, 2.388108308045800321e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
9.301737084632581087e+00, 4.282661662914184042e+00, 2.767467386932177753e+00, 1.983865152664879172e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
6.882069976094062014e+00, 7.980307590733279000e+00, 2.269807322234009384e+00, 2.376579699115271449e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.187712564377683577e+00, 8.237062500560405454e+00, 1.904845208717014016e+00, 2.394969688973178634e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
3.856981732265351681e+00, 8.640832497755702946e+00, 1.782427135810464192e+00, 2.488863081803404764e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.127441269917419220e+01, 2.490168892572936166e+00, 2.899958651844623869e+00, 1.571668392836746309e+00, 3.000000000000000000e+00, 1.000000000000000000e+00
6.832892529291262562e+00, 5.301874291248729776e+00, 2.303323795424647269e+00, 2.115456116547854037e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
1.865472932877167977e+01, 4.615038850015996452e+00, 3.587350343462142099e+00, 1.894764442092896406e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.125866503009723196e+01, 1.154039044972243921e+01, 2.790841740731360598e+00, 2.733330912516329203e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.184122457787692539e+00, 5.064652226204151120e+00, 2.483174750473251091e+00, 1.985979170624349033e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.632809032576547636e+00, 6.318893023808264786e+00, 2.742627947181769166e+00, 2.333856603769792315e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.682417769741023861e+00, 1.028840033273579913e+01, 2.585929095170070635e+00, 2.514663467874822089e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
7.927944976645120434e+00, 7.092485588313561351e+00, 2.488074401708237904e+00, 2.291687108394851791e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
1.109088350616920948e+01, 2.137444580767781233e+01, 2.773064780647125360e+00, 3.784785455114834551e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.644722046177545849e+01, 6.621285921740875935e+00, 3.395080307016850707e+00, 2.134602462856418637e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.766391874757274394e+01, 1.200638534876260621e+01, 3.399629013051389315e+00, 2.704880078962053069e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
